job_id,job_title,company,location,experience,salary_lpa,skills_required,category
JOB1,Cloud Engineer,Wipro,Remote,0-2,4-6,"Django,Docker,Python,Node,MongoDB,Flask",Frontend
JOB2,Backend Developer,Zoho,Chennai,0-2,6-10,"FastAPI,Jenkins,MySQL,HTML,Git,GitLab CI",FullStack
JOB3,Cloud Engineer,Freshworks,Pune,2-4,8-12,"GitLab CI,HTML,PostgreSQL,FastAPI,GitHub Actions,Redis",FullStack
JOB4,Full Stack Developer,Amazon,Chennai,2-4,6-10,"CSS,Python,GCP,MongoDB,CloudWatch,Node",Frontend
JOB5,ML Engineer,Zoho,Noida,1-3,4-6,"React,Java,Ansible,Jenkins,MySQL,FastAPI",FullStack
JOB6,Platform Engineer,Freshworks,Noida,3-5,10-15,"Bash,Kafka,HTML,GitLab CI,Ansible,Prometheus",Frontend
JOB7,Data Engineer,Zoho,Bangalore,3-5,10-15,"MongoDB,HTML,Git,Jenkins,GCP,Terraform",Backend
JOB8,Cloud Engineer,Freshworks,Hyderabad,0-2,4-6,"Redis,Linux,React,Jenkins,Java,Node",DevOps
JOB9,Cloud Operations Engineer,Microsoft,Chennai,2-4,10-15,"Bash,MongoDB,Docker,CI/CD,Python,PowerShell",Data
JOB10,Platform Engineer,Zomato,Noida,2-4,10-15,"Azure Monitor,Linux,React,JavaScript,Azure,MongoDB",Data
JOB11,Platform Engineer,Swiggy,Pune,0-2,6-10,"Azure Monitor,IaC,FastAPI,Node,Redis,Ansible",Frontend
JOB12,Data Engineer,Accenture,Hyderabad,2-4,6-10,"Kafka,Ansible,Kubernetes,Django,CI/CD,JavaScript",Data
JOB13,Frontend Developer,Zoho,Gurgaon,2-4,8-12,"Redis,MySQL,AWS,GitLab CI,Java,Git",Data
JOB14,Full Stack Developer,Accenture,Noida,0-2,6-10,"Terraform,React,HTML,PowerShell,Grafana,GitLab CI",DevOps
JOB15,Site Reliability Engineer,Amazon,Bangalore,3-5,8-12,"Django,Azure Monitor,Kubernetes,Linux,JavaScript,Flask",Cloud
JOB16,Cloud Engineer,Zomato,Remote,3-5,6-10,"PostgreSQL,JavaScript,Bash,C++,GitHub Actions,FastAPI",Frontend
JOB17,ML Engineer,Infosys,Hyderabad,0-2,8-12,"Django,MySQL,Bash,GitLab CI,CSS,GitHub Actions",Frontend
JOB18,Cloud Engineer,Swiggy,Hyderabad,3-5,10-15,"React,Docker,CloudWatch,Python,HTML,Prometheus",Frontend
JOB19,Cloud Operations Engineer,Amazon,Chennai,1-3,6-10,"Grafana,React,Docker,CI/CD,GCP,Kafka",Frontend
JOB20,Cloud Engineer,Oracle,Pune,2-4,10-15,"CSS,Jenkins,Python,Terraform,GitLab CI,GitHub Actions",Frontend
JOB21,Full Stack Developer,Zoho,Chennai,3-5,10-15,"Bash,Redis,JavaScript,Docker,Terraform,Linux",Cloud
JOB22,Frontend Developer,Freshworks,Gurgaon,2-4,10-15,"C++,Jenkins,React,Redis,Flask,Java",DevOps
JOB23,Data Engineer,Flipkart,Bangalore,0-2,10-15,"Ansible,Jenkins,Django,Linux,HTML,Git",Data
JOB24,Data Engineer,Zoho,Noida,0-2,10-15,"Bash,JavaScript,Kafka,Azure Monitor,Azure,GCP",Data
JOB25,Site Reliability Engineer,Wipro,Noida,2-4,4-6,"CloudWatch,Django,MySQL,Redis,FastAPI,Java",Data
JOB26,Cloud Operations Engineer,IBM,Noida,3-5,8-12,"AWS,Redis,C++,Git,Terraform,CSS",Backend
JOB27,Frontend Developer,Oracle,Pune,2-4,4-6,"Terraform,GCP,Kafka,AWS,Jenkins,Django",DevOps
JOB28,Junior DevOps Engineer,Amazon,Pune,2-4,10-15,"Redis,MySQL,Flask,CI/CD,React,Java",Data
JOB29,ML Engineer,Paytm,Gurgaon,1-3,10-15,"MySQL,Jenkins,Azure,Docker,JavaScript,Ansible",Cloud
JOB30,Cloud Operations Engineer,TCS,Gurgaon,2-4,10-15,"CI/CD,GitHub Actions,Git,React,IaC,Azure Monitor",DevOps
JOB31,Data Engineer,TCS,Remote,3-5,4-6,"CloudWatch,C++,MySQL,PostgreSQL,JavaScript,Bash",Data
JOB32,ML Engineer,Infosys,Gurgaon,1-3,8-12,"GCP,HTML,Prometheus,React,AWS,PostgreSQL",Backend
JOB33,Full Stack Developer,Swiggy,Chennai,3-5,4-6,"CSS,MySQL,Node,Git,CloudWatch,React",Backend
JOB34,Backend Developer,Accenture,Noida,3-5,8-12,"PostgreSQL,Python,MySQL,GitHub Actions,Terraform,Ansible",Cloud
JOB35,Platform Engineer,Accenture,Chennai,3-5,8-12,"Python,Kubernetes,Ansible,GitLab CI,PowerShell,Bash",FullStack
JOB36,Site Reliability Engineer,Flipkart,Pune,1-3,8-12,"Azure,CloudWatch,HTML,Jenkins,Node,Git",Cloud
JOB37,Full Stack Developer,Swiggy,Remote,1-3,4-6,"Ansible,Docker,AWS,PowerShell,Redis,Node",Data
JOB38,Cloud Engineer,Wipro,Gurgaon,2-4,4-6,"AWS,CloudWatch,Prometheus,Python,Flask,Jenkins",Frontend
JOB39,Cloud Engineer,Freshworks,Gurgaon,0-2,4-6,"Prometheus,CSS,Node,JavaScript,Azure Monitor,PowerShell",Frontend
JOB40,Backend Developer,Wipro,Noida,2-4,10-15,"CloudWatch,JavaScript,Prometheus,Redis,Bash,React",Backend
JOB41,Site Reliability Engineer,Infosys,Bangalore,0-2,10-15,"Azure Monitor,Git,IaC,JavaScript,GitLab CI,Flask",Frontend
JOB42,Full Stack Developer,Wipro,Bangalore,0-2,10-15,"CI/CD,HTML,Jenkins,Kafka,FastAPI,GitHub Actions",Cloud
JOB43,Cloud Operations Engineer,Microsoft,Chennai,2-4,8-12,"HTML,PostgreSQL,MongoDB,React,GitHub Actions,Ansible",Data
JOB44,Backend Developer,Amazon,Gurgaon,1-3,6-10,"Grafana,CI/CD,Azure,Java,Django,IaC",Frontend
JOB45,ML Engineer,Google,Noida,3-5,6-10,"CSS,C++,CloudWatch,Azure Monitor,React,Prometheus",Frontend
JOB46,Cloud Operations Engineer,Swiggy,Bangalore,2-4,10-15,"PostgreSQL,CloudWatch,Terraform,AWS,Python,Java",Cloud
JOB47,Junior DevOps Engineer,Freshworks,Gurgaon,0-2,6-10,"Linux,Java,JavaScript,FastAPI,IaC,GCP",Backend
JOB48,Cloud Operations Engineer,Paytm,Chennai,2-4,6-10,"Python,Bash,AWS,Terraform,CI/CD,MySQL",Frontend
JOB49,Cloud Engineer,Accenture,Noida,2-4,8-12,"Bash,CSS,Kubernetes,Jenkins,Redis,GitHub Actions",FullStack
JOB50,Full Stack Developer,IBM,Gurgaon,1-3,10-15,"Ansible,C++,IaC,PowerShell,CloudWatch,CI/CD",Data
JOB51,Frontend Developer,Swiggy,Chennai,0-2,8-12,"Redis,GitHub Actions,IaC,Azure,JavaScript,AWS",DevOps
JOB52,Cloud Operations Engineer,Amazon,Noida,2-4,8-12,"MongoDB,Git,GCP,Redis,Python,Flask",Data
JOB53,Cloud Operations Engineer,TCS,Bangalore,2-4,10-15,"GitLab CI,Flask,IaC,Python,CI/CD,Azure",DevOps
JOB54,ML Engineer,Google,Remote,1-3,6-10,"FastAPI,Node,GitLab CI,Terraform,GitHub Actions,Docker",FullStack
JOB55,Data Engineer,IBM,Bangalore,3-5,6-10,"CI/CD,Prometheus,Ansible,Java,React,C++",Cloud
JOB56,Junior DevOps Engineer,Paytm,Noida,0-2,8-12,"Kubernetes,Flask,Redis,Django,GitHub Actions,MySQL",DevOps
JOB57,Platform Engineer,Google,Chennai,1-3,8-12,"C++,GitLab CI,Grafana,IaC,Python,Node",Data
JOB58,Frontend Developer,Microsoft,Noida,1-3,6-10,"Docker,Azure Monitor,PostgreSQL,Terraform,Java,CSS",DevOps
JOB59,Junior DevOps Engineer,IBM,Remote,1-3,4-6,"Kafka,Kubernetes,Bash,IaC,GCP,JavaScript",Frontend
JOB60,Platform Engineer,Paytm,Remote,2-4,8-12,"HTML,Java,GCP,Azure,PowerShell,Terraform",Frontend
JOB61,Frontend Developer,IBM,Chennai,1-3,10-15,"Bash,Git,HTML,Flask,Django,Grafana",Backend
JOB62,Data Engineer,Zomato,Noida,2-4,4-6,"Kubernetes,CloudWatch,GitLab CI,PostgreSQL,Azure,GitHub Actions",Data
JOB63,Full Stack Developer,Infosys,Gurgaon,3-5,10-15,"Java,Linux,Python,Django,Azure,Terraform",Backend
JOB64,Platform Engineer,Freshworks,Hyderabad,2-4,4-6,"Azure,Git,Prometheus,Grafana,Flask,CSS",Data
JOB65,Site Reliability Engineer,Freshworks,Remote,0-2,10-15,"MySQL,Java,Azure,Docker,MongoDB,Django",Data
JOB66,Platform Engineer,Oracle,Noida,2-4,8-12,"Python,Azure,Redis,Java,GCP,MongoDB",Cloud
JOB67,Backend Developer,Zoho,Noida,3-5,10-15,"Java,Jenkins,Flask,Docker,CI/CD,React",Frontend
JOB68,Frontend Developer,Microsoft,Gurgaon,0-2,8-12,"CI/CD,Java,HTML,Azure,GitLab CI,MongoDB",Data
JOB69,Cloud Engineer,Google,Gurgaon,2-4,6-10,"Jenkins,MongoDB,PowerShell,Terraform,HTML,GitLab CI",Backend
JOB70,Junior DevOps Engineer,Zomato,Chennai,1-3,10-15,"Azure Monitor,MySQL,CI/CD,CloudWatch,FastAPI,GCP",FullStack
JOB71,Full Stack Developer,Flipkart,Chennai,0-2,8-12,"IaC,Grafana,GitLab CI,Azure,JavaScript,CI/CD",FullStack
JOB72,Junior DevOps Engineer,Accenture,Bangalore,3-5,6-10,"AWS,Python,GitHub Actions,Jenkins,FastAPI,Django",Backend
JOB73,Cloud Engineer,Microsoft,Chennai,3-5,8-12,"Python,Git,CI/CD,Redis,Prometheus,Node",FullStack
JOB74,Platform Engineer,Freshworks,Pune,1-3,4-6,"Python,Jenkins,AWS,Linux,PowerShell,FastAPI",Backend
JOB75,Full Stack Developer,Zoho,Pune,1-3,6-10,"Kafka,Jenkins,FastAPI,Flask,GCP,CloudWatch",DevOps
JOB76,Site Reliability Engineer,TCS,Chennai,2-4,4-6,"FastAPI,PostgreSQL,GitLab CI,Linux,Azure,C++",FullStack
JOB77,Cloud Engineer,Oracle,Remote,0-2,6-10,"HTML,Java,MySQL,GitHub Actions,FastAPI,Flask",FullStack
JOB78,Data Engineer,Amazon,Noida,2-4,6-10,"Docker,Jenkins,FastAPI,PowerShell,Grafana,Prometheus",Cloud
JOB79,Frontend Developer,Swiggy,Gurgaon,0-2,10-15,"Bash,Azure,Kafka,FastAPI,Docker,Ansible",Data
JOB80,Platform Engineer,Paytm,Gurgaon,0-2,8-12,"Docker,GCP,AWS,Grafana,HTML,Flask",Cloud
JOB81,ML Engineer,Zomato,Chennai,1-3,4-6,"PowerShell,Bash,Node,GCP,CloudWatch,MongoDB",FullStack
JOB82,Backend Developer,Microsoft,Hyderabad,0-2,6-10,"GCP,CI/CD,CSS,Azure Monitor,JavaScript,Java",DevOps
JOB83,Data Engineer,Flipkart,Hyderabad,1-3,8-12,"PostgreSQL,CI/CD,MongoDB,MySQL,HTML,Linux",Data
JOB84,Cloud Engineer,Swiggy,Hyderabad,2-4,6-10,"Django,FastAPI,Jenkins,MongoDB,AWS,Bash",FullStack
JOB85,Platform Engineer,Microsoft,Chennai,3-5,6-10,"Python,Linux,HTML,Java,Django,Jenkins",FullStack
JOB86,Full Stack Developer,Flipkart,Hyderabad,1-3,10-15,"PowerShell,Docker,Prometheus,Jenkins,Node,MySQL",DevOps
JOB87,ML Engineer,Swiggy,Chennai,1-3,8-12,"Python,Linux,MySQL,GitHub Actions,CSS,Java",Data
JOB88,Site Reliability Engineer,Zomato,Pune,1-3,6-10,"CloudWatch,MongoDB,Git,Java,Bash,PostgreSQL",Data
JOB89,Site Reliability Engineer,Paytm,Noida,3-5,10-15,"GitLab CI,MongoDB,Prometheus,Django,PostgreSQL,CloudWatch",DevOps
JOB90,Full Stack Developer,Google,Remote,3-5,8-12,"HTML,Jenkins,Grafana,Azure Monitor,C++,React",Data
JOB91,ML Engineer,Accenture,Pune,1-3,10-15,"Linux,Azure,C++,CI/CD,CSS,GitHub Actions",Data
JOB92,Backend Developer,Infosys,Bangalore,3-5,6-10,"GitLab CI,FastAPI,Grafana,CSS,Django,Python",Backend
JOB93,Data Engineer,Zomato,Hyderabad,0-2,4-6,"AWS,JavaScript,PowerShell,PostgreSQL,FastAPI,C++",Frontend
JOB94,Junior DevOps Engineer,Freshworks,Bangalore,3-5,8-12,"Java,Linux,GitLab CI,GitHub Actions,C++,Bash",Frontend
JOB95,ML Engineer,Zoho,Hyderabad,1-3,10-15,"Bash,Grafana,Jenkins,Linux,IaC,Flask",Backend
JOB96,Cloud Operations Engineer,TCS,Remote,3-5,8-12,"HTML,FastAPI,GitLab CI,Linux,Azure,Bash",FullStack
JOB97,Backend Developer,Zomato,Remote,3-5,6-10,"Java,React,MySQL,Redis,Grafana,Git",Data
JOB98,Full Stack Developer,Zomato,Noida,3-5,6-10,"Java,Docker,Git,IaC,Python,Azure Monitor",Frontend
JOB99,Site Reliability Engineer,Amazon,Noida,3-5,4-6,"Grafana,JavaScript,Terraform,React,Kubernetes,Redis",FullStack
JOB100,Cloud Operations Engineer,Microsoft,Remote,0-2,6-10,"Bash,Linux,GCP,GitHub Actions,Azure,Terraform",DevOps
JOB101,Site Reliability Engineer,Google,Gurgaon,0-2,8-12,"PostgreSQL,Docker,Azure,Java,Linux,Azure Monitor",Frontend
JOB102,Backend Developer,Google,Remote,0-2,10-15,"Kubernetes,Jenkins,MongoDB,GitHub Actions,Kafka,C++",Frontend
JOB103,Data Engineer,Google,Gurgaon,1-3,6-10,"Azure Monitor,Node,IaC,JavaScript,PowerShell,Kubernetes",Backend
JOB104,Site Reliability Engineer,Amazon,Remote,2-4,4-6,"Java,CloudWatch,AWS,Docker,CSS,IaC",Data
JOB105,Frontend Developer,IBM,Bangalore,1-3,6-10,"Terraform,Linux,Ansible,GitHub Actions,React,CloudWatch",Backend
JOB106,Frontend Developer,Google,Chennai,1-3,10-15,"IaC,Prometheus,Grafana,Jenkins,Azure,MongoDB",Frontend
JOB107,Site Reliability Engineer,Zomato,Pune,2-4,6-10,"Django,PostgreSQL,React,MongoDB,FastAPI,Linux",Data
JOB108,Platform Engineer,TCS,Bangalore,2-4,10-15,"Bash,CI/CD,PowerShell,Node,Jenkins,Docker",Backend
JOB109,Full Stack Developer,Swiggy,Hyderabad,2-4,4-6,"MongoDB,HTML,Python,Flask,Django,Jenkins",Backend
JOB110,Data Engineer,Accenture,Gurgaon,1-3,8-12,"GitHub Actions,IaC,Docker,Azure Monitor,HTML,Grafana",Backend
JOB111,Data Engineer,Freshworks,Pune,0-2,6-10,"MongoDB,Docker,Azure Monitor,CloudWatch,FastAPI,PostgreSQL",Frontend
JOB112,Junior DevOps Engineer,Wipro,Bangalore,0-2,6-10,"MySQL,GCP,GitLab CI,Django,Python,Linux",Frontend
JOB113,Frontend Developer,Flipkart,Bangalore,0-2,10-15,"HTML,AWS,GitHub Actions,Python,CloudWatch,GCP",DevOps
JOB114,ML Engineer,Flipkart,Bangalore,2-4,10-15,"CSS,GCP,PostgreSQL,CI/CD,Docker,Ansible",Backend
JOB115,Data Engineer,Oracle,Remote,0-2,6-10,"Docker,AWS,PowerShell,React,Prometheus,CSS",Backend
JOB116,Site Reliability Engineer,IBM,Chennai,0-2,8-12,"Git,IaC,C++,PostgreSQL,PowerShell,Linux",Backend
JOB117,Platform Engineer,IBM,Noida,1-3,10-15,"Linux,Terraform,Jenkins,GCP,Prometheus,JavaScript",Backend
JOB118,Junior DevOps Engineer,Accenture,Noida,0-2,4-6,"Git,Node,Bash,CI/CD,PowerShell,Redis",Backend
JOB119,Backend Developer,Freshworks,Gurgaon,1-3,4-6,"AWS,CloudWatch,HTML,Git,IaC,PowerShell",Data
